File,Residuals
Set B - 12 hr,0.03318304650580717
Set B - 12 hr,0.020958997385789935
Set B - 12 hr,-0.012429096047201132
Set B - 12 hr,-0.08142268929970153
Set B - 12 hr,-0.08508412198567594
Set B - 12 hr,-0.06754849918776973
Set B - 12 hr,-0.07532214105126467
Set B - 12 hr,-0.03469222634581165
Set B - 12 hr,-0.016556145083392648
Set B - 12 hr,-0.0073266519461722135
Set B - 12 hr,0.0715616763389818
Set B - 12 hr,0.14244757563459498
Set B - 12 hr,0.10895443338193334
Set B - 6 hr,0.004223332504659571
Set B - 6 hr,-0.024376680463548482
Set B - 6 hr,-0.054102751926594486
Set B - 6 hr,-0.026294023435847358
Set B - 6 hr,-0.030654661294667374
Set B - 6 hr,0.002975746256387357
Set B - 6 hr,-0.0039036096503589635
Set B - 6 hr,0.025104193472686775
Set B - 6 hr,-0.014121947124745904
Set B - 6 hr,0.036780556784130836
Set B - 6 hr,0.008561114029744243
Set B - 6 hr,0.04389357265704852
Set B - 1 hr,0.03747652007159981
Set B - 1 hr,-0.02796727059090784
Set B - 1 hr,-0.031126845018466492
Set B - 1 hr,0.011365365266279237
Set B - 1 hr,0.015506267826399966
Set B - 1 hr,0.010595486335416515
Set B - 1 hr,0.0012406613835983515
Set B - 1 hr,-0.022926756498791057
Set B - 1 hr,-0.0054910530032880045
Set B - 1 hr,-0.0060165812673185215
Set B - 1 hr,0.013047852798374837
Set B - 0 hr,0.15542423313425371
Set B - 0 hr,0.04855716862297105
Set B - 0 hr,0.08696615477078745
Set B - 0 hr,0.04622056274660269
Set B - 0 hr,0.00027600909294611675
Set B - 0 hr,-0.037894323571248445
Set B - 0 hr,-0.09368775448454736
Set B - 0 hr,-0.0901883322932675
Set B - 0 hr,-0.06774783598492473
Set B - 0 hr,-0.053016342128146765
Set B - 0 hr,-0.042597206682014166
Set B - 0 hr,-0.019170042133059728
Set B - 0 hr,0.00012291559634802773
Set B - 48 hr,0.0012056689787550926
Set B - 48 hr,0.004210271518121603
Set B - 48 hr,-0.0046431512146324
Set B - 48 hr,-0.04462589349943444
Set B - 48 hr,-0.08814946420783146
Set B - 48 hr,-0.12570819249432622
Set B - 48 hr,-0.17009994456917463
Set B - 48 hr,-0.04388290902651837
Set B - 48 hr,-0.024347087598792616
Set B - 48 hr,-0.047742971264574996
Set B - 48 hr,0.05853369141542408
Set B - 48 hr,0.11601045086147521
Set B - 48 hr,0.20573567722487673
Set B - 24 hr,0.008092997956992577
Set B - 24 hr,-0.0030612600224146844
Set B - 24 hr,-0.028331714273168697
Set B - 24 hr,-0.09005256028436667
Set B - 24 hr,-0.13480436759903142
Set B - 24 hr,-0.06277259326354839
Set B - 24 hr,-0.06096202373036008
Set B - 24 hr,-0.03230497544324662
Set B - 24 hr,0.11896168900038429
Set B - 24 hr,0.15363679561779775
Set B - 24 hr,0.1134565223493591
